No00000#0,"""Пусто"""
No17370#0,"""Няу Уши Кепка"""
No17380#0,"""Бежевые Полосатые Свободные Носки"""
No17381#0,"""Голубые Полосатые Свободные Носки"""
No17382#0,"""Белые Полосатые Свободные Носки"""
No17390#0,"""Корсаж Тело Аустерэ"""
No17391#0,"""Корсаж Тело Инвэйд"""
No17400#0,"""Корсаж Аустерэ"""
No17401#0,"""Корсаж Инвэйд"""
No17410#0,"""うさぎリボン\u3000白"""
No17411#0,"""うさぎリボン\u3000黒"""
No17420#0,"""ドッグノーズ\u3000茶"""
No17421#0,"""ドッグノーズ\u3000黒"""
No17430#0,"""Шарик Рэппи"""
No17431#0,"""Шарик Лилипы"""
No17440#0,"""ARKS Твойная Палка"""
No17450#0,"""Шары Мечи"""
No17460#0,"""Надкусанное Красное Мясо"""
No12782#0,"""Галстук Униформы Академии Тенсей B"""
No13191#0,"""Ня Пипис Шляпа B"""
No13342#0,"""Гол.Убор Стелла B"""
No15981#0,"""Заколка Графит B"""
No13231#0,"""Фотон Рыба B"""
No12785#0,"""Тенсей Элементари Галстук"""
No13591#0,"""Механизм Выброса B"""
No13763#0,"""リボンキャスケット帽\u3000赤"""
No13902#0,"""Милый Ворот B"""
No13913#0,"""ボディコサージュ\u3000黒"""
No13923#0,"""バックリボン\u3000黒"""
No14021#0,"""ストリームフェザー\u3000白"""
No14022#0,"""ストリームフェザー\u3000黒"""
No14023#0,"""Струющиеся Перья B"""
No15522#0,"""Ленточка Фолли B"""
No16702#0,"""ゾディアックベルト\u3000黒"""
No17321#0,"""Деформир. Глаза B"""
No04972#0,"""Овальный Капюшон C"""
No15491#0,"""Корона Мощи B"""
No13391#0,"""Изумрудная Меч"""
No13421#0,"""Изумрудная Шляпа"""
No14541#0,"""Кабуки Казари B"""
No14721#0,"""Кабуки Рин B"""
No17470#0,"""Ленточка Квина"""
No17480#0,"""Шляпа Лила"""
No17490#0,"""Гол.Убор Эли"""
No17500#0,"""Хвосты Эли"""
No17510#0,"""シャミールバレッタ"""
No17520#0,"""シェリーヘアドレス"""
No17530#0,"""シェリーリボン"""
No17540#0,"""マラッドハット"""
No17550#0,"""マリーヌハット"""
No17560#0,"""Аксесуар Сирен для Волос"""
No17570#0,"""Рукава Сирен"""
No17580#0,"""Широкий Плечевой Стабилизатор"""
No17590#0,"""Широкий Ножной Стабилизатор"""
No17600#0,"""Сирен MK2"""
No17610#0,"""ACS Накопитель A"""
No17620#0,"""ACS Накопитель B"""
No17630#0,"""Двойная Ракетная Установка"""
No17640#0,"""S Стилет 2 Плечо"""
No17650#0,"""G Широкий Плечевой Стабилизатор"""
No17660#0,"""G Широкий Ножной Стабилизатор"""
No17670#0,"""G Сирен MK2"""
No17690#0,"""ビッグガーダーＬ"""
No17691#0,"""ビッグガーダーＲ"""
No17700#0,"""ハネ髪エクステ"""
No17740#0,"""Гол.Убор Стилет G"""
No17750#0,"""頭乗りドンペン"""
No17870#0,"""ショルダーアームＬ"""
No17871#0,"""ショルダーアームＲ"""
No17890#0,"""Рэппи Шарик Путешествий"""
No17900#0,"""Мешочек Лилипа на Шею"""
No17910#0,"""Голова Рэппи"""
No17911#0,"""ラッピーヘッド\u3000黄"""
No17930#0,"""Кружащий Фантом Самолёт"""
No17931#0,"""Перемещающийся Фантом Самолёт"""
No17940#0,"""金貨の宝箱"""
No17950#0,"""トロピカル浮き輪\u3000赤"""
No17951#0,"""トロピカル浮き輪\u3000青"""
No17970#0,"""Кафидрал Ожерелье"""
No17990#0,"""Кафидрал Мини Фата"""
No18000#0,"""Перья Сирен"""
No18010#0,"""Крылья Сирен"""
No18050#0,"""シールドブレードＬ"""
No18051#0,"""シールドブレードＲ"""
No18060#0,"""メタルワイドウィング"""
Title#0,"""Изменить Приоритет Отображения Рисунков на теле"""
Priority1#0,"""Приоритет 1"""
Priority2#0,"""Приоритет 2"""
Priority3#0,"""Приоритет 3"""
MovePriority1#0,"""Установить Приоритет 1"""
MovePriority2#0,"""Установить Приоритет 2"""
MovePriority3#0,"""Установить Приоритет 3"""
Item_InnerWear#0,"""Нижнее Бельё"""
Item_BodyPaint1#0,"""Рисунки на теле 1"""
Item_BodyPaint2#0,"""Рисунки на теле 2"""
