CorrectionAssignMapTitle#0,"""Восстановление настроек управления"""
Config_Reb_162_Select_0#0,"""モデル1"""
Config_Reb_162_Select_1#0,"""モデル2"""
Config_Reb_162_Select_2#0,"""モデル3"""
Config_Reb_163_Name#0,"""拡大鏡モードの使用"""
Config_Reb_163_Hint#0,"""拡大鏡モードを使用するかを設定します。<br><br><yellow>※“使用する”を選ぶと、<c><swguidetype ShiftTrigger><yellow>＋<c><swguidetype EscMenu><yellow>で<br>\u3000拡大鏡モードを使用できます。<c>"""
Config_Reb_164_Name#0,"""通知メッセージの表示件数"""
Config_Reb_164_Hint#0,"""タスク目標達成時などに、<br>画面下部に表示される通知メッセージを、<br>最大何件まで同時に表示するかを設定します。"""
Config_Reb_164_Select_0#0,"""3件"""
Config_Reb_164_Select_1#0,"""1件"""
Config_Reb_165_Name#0,"""エネミーのダメージ表示：プレイヤーキャラクター"""
Config_Reb_165_Hint#0,"""プレイヤーキャラクターが、<br>エネミーにダメージを与えたときに<br>表示される数字のサイズを設定します。"""
Config_Reb_165_Select_0#0,"""標準"""
Config_Reb_165_Select_1#0,"""小"""
Config_Reb_165_Select_2#0,"""極小"""
Config_Reb_165_Select_3#0,"""表示しない"""
Config_Reb_166_Name#0,"""エネミーのダメージ表示：パーティーメンバー"""
Config_Reb_166_Hint#0,"""パーティーメンバーが、<br>エネミーにダメージを与えたときに<br>表示される数字のサイズを設定します。"""
Config_Reb_167_Name#0,"""エネミーのダメージ表示：その他のキャラクター"""
Config_Reb_167_Hint#0,"""その他のキャラクターが、<br>エネミーにダメージを与えたときに<br>表示される数字のサイズを設定します。"""
Config_Reb_168_Name#0,"""受けるダメージや回復の表示：プレイヤーキャラクター"""
Config_Reb_168_Hint#0,"""プレイヤーキャラクターが、<br>エネミーからダメージを受けたり、<br>回復するなどしたときに<br>表示される数字のサイズを設定します。"""
Config_Reb_169_Name#0,"""受けるダメージや回復の表示：パーティーメンバー"""
Config_Reb_169_Hint#0,"""パーティーメンバーが、<br>エネミーからダメージを受けたり、<br>回復するなどしたときに<br>表示される数字のサイズを設定します。"""
Config_Reb_170_Name#0,"""受けるダメージや回復の表示：その他のキャラクター"""
Config_Reb_170_Hint#0,"""その他のキャラクターが、<br>エネミーからダメージを受けたり、<br>回復するなどしたときに<br>表示される数字のサイズを設定します。"""
Config_Reb_171_Name#0,"""クリティカル時のダメージ強調表示"""
Config_Reb_171_Hint#0,"""プレイヤーキャラクターの攻撃で、<br>クリティカルが発生した時の数字を、<br>強調表示するかを設定します。<br><br>【強調表示1】<br>数字が拡大されます。<br><br>【強調表示2】<br>数字が拡大され、エフェクトが追加されます。"""
Config_Reb_171_Select_0#0,"""使用しない"""
Config_Reb_171_Select_1#0,"""強調表示1"""
Config_Reb_171_Select_2#0,"""強調表示2"""
Config_Reb_172_Name#0,"""ログインコールの表示"""
Config_Reb_172_Hint#0,"""自分の画面上に、<br>ログインコールを表示するかを設定します。<br><br><yellow>※“表示しない”を選択すると、<br>\u3000すべてのログインコールが表示されなくなります。<c><br><br><yellow>※ログインコールは、“フレンドリスト”から<br>\u3000相手を選び、“コミュニケーション”の項目で、<br>\u3000“受け取る”を選択することで利用できます。<c>"""
Config_Reb_172_Select_0#0,"""表示しない"""
Config_Reb_172_Select_1#0,"""表示する"""
Config_Reb_173_Name#0,"""ロックオン対象の自動切り替え"""
Config_Reb_173_Hint#0,"""ロックオン中に、<br>対象エネミーを倒したときなどに、<br>自動的に次の目標をロックオンする機能を<br>使用するかを選択します。<br><br><yellow>※次にロックオンする目標の優先度は、<br>\u3000“ロックオンの優先対象”の設定で変更できます。<c>"""
Config_Reb_173_Select_0#0,"""使用しない"""
Config_Reb_173_Select_1#0,"""使用する"""
Config_Reb_174_Name#0,"""他プレイヤーのポータブルホログラム表示"""
Config_Reb_174_Hint#0,"""他プレイヤーが設置したポータブルホログラムを<br>表示するかを設定します。<br><br><yellow>※“表示する”を選んだ場合、<br>\u3000同じ“グラフィック”の項目のなかにある<br>\u3000“詳細に描写するキャラクター表示数”の設定に<br>\u3000準じてホログラムの表示数が変動します。<br><br><yellow>※“表示しない”から“表示する”に切り替えた場合<br>\u3000セクション移動を行うことで、他プレイヤーが<br>\u3000設置したホログラムが表示されるようになります。<c>"""
Config_Reb_174_Select_0#0,"""表示する"""
Config_Reb_174_Select_1#0,"""表示しない"""
Config_Reb_175_Name#0,"""他キャラクターとエネミーの描画更新頻度低減"""
Config_Reb_175_Hint#0,"""離れた場所にいる他キャラクターやエネミーの<br>描画更新頻度を減らす機能を<br>使用するかを設定します。<br><br><yellow>※“使用する”を選ぶと、<br>\u3000処理がやや軽くなります。<c>"""
Config_Reb_175_Select_0#0,"""使用しない"""
Config_Reb_175_Select_1#0,"""使用する"""
Config_Reb_176_Name#0,"""他プレイヤーの高解像度表示"""
Config_Reb_176_Hint#0,"""一定範囲内の他プレイヤーの表示を、<br>同じ“グラフィック”の項目のなかにある<br>“テクスチャ解像度”の設定に<br>準じた解像度にするかを設定します。<br><br><yellow>※ご利用の環境に応じて、高解像度で表示される<br>\u3000他プレイヤーの数は変動します。<br><br><yellow>※“使用する”を選ぶと<br>\u3000処理がやや重くなります。<c>"""
Config_Reb_176_Select_0#0,"""使用しない"""
Config_Reb_176_Select_1#0,"""使用する"""
Config_Reb_177_Name#0,"""キャラクターのトゥーン表示"""
Config_Reb_177_Hint#0,"""キャラクターやコスチュームなどの表示を、<br>トゥーン（アニメ）調で描写するかを設定します。<br><br><yellow>※“使用する”を選ぶと<br>\u3000処理がやや重くなります。<c>"""
Config_Reb_177_Select_0#0,"""使用しない"""
Config_Reb_177_Select_1#0,"""使用する"""
Config_Reb_178_Name#0,"""キャラクターのトゥーン表示：輪郭の強調"""
Config_Reb_178_Hint#0,"""トゥーン表示にしたキャラクターの<br>輪郭をどの程度強調するかを設定します。<br><br><yellow>※数値を下げると処理がやや軽くなります。<c>"""
Config_Reb_179_Name#0,"""キャラクターのトゥーン表示：影の濃度"""
Config_Reb_179_Hint#0,"""トゥーン表示にしたキャラクターの<br>影の濃さを設定します。"""
Config_CollaboMode_Title#0,"""イベント応募関連の表示設定"""
Config_CollaboMode_Name#0,"""イベント応募対象アイテムの確認表示"""
Config_CollaboMode_Select0#0,"""表示しない"""
Config_CollaboMode_Select1#0,"""表示する"""
Config_Reb_Title_Lockon#0,"""<white>ロックオン設定<c>"""
Config_Reb_Title_Action#0,"""<white>アクション設定<c>"""
Config_Reb_Title_Hud#0,"""<white>プレイヤー/エネミー表示設定<c>"""
Config_Reb_Title_Drop#0,"""<white>ドロップ設定<c>"""
Config_Reb_Title_Menu#0,"""<white>その他<c>"""
Config_Reb_Title_Party#0,"""<white>パーティー設定<c>"""
Config_Reb_Title_Notice#0,"""<white>通知設定<c>"""
Config_Reb_Title_Staging#0,"""<white>カメラ演出設定<c>"""
Config_Reb_Title_Esthetic#0,"""<white>エステ設定<c>"""
Config_Reb_Title_Look1#0,"""<white>通常視点設定<c>"""
Config_Reb_Title_Look2#0,"""<white>肩越し視点設定<c>"""
Config_Reb_Title_Volume#0,"""<white>サウンド基本設定<c>"""
Config_Reb_Title_Voicechat#0,"""<white>ボイスチャット設定<c>"""
Config_Reb_Title_Talk#0,"""<white>チャット基本設定<c>"""
Config_Reb_Title_Logwindow#0,"""<white>ログウィンドウ設定<c>"""
Config_Reb_Title_Autoword#0,"""<white>オートワード設定<c>"""
Config_Reb_Title_Symbolart#0,"""<white>シンボルアート設定<c>"""
Config_Reb_Title_Stamp#0,"""<white>スタンプ設定<c>"""
Config_Reb_Title_Mail#0,"""<white>メール設定<c>"""
Config_Reb_Title_Fukidashi#0,"""<white>他プレイヤー設定<c>"""
Config_Reb_Title_Screenshot#0,"""<white>スクリーンショット設定<c>"""
Config_Reb_Title_Simple#0,"""<white>画面表示設定<c>"""
Config_Reb_Title_Hdr#0,"""<white>HDR設定<c>"""
Config_Reb_Title_Custom#0,"""<white>その他<c>"""
Config_Reb_180_Name#0,"""1秒間あたりのダメージ（DPS）の表示"""
Config_Reb_180_Hint#0,"""ターゲット中のエネミーに対して、<br>自身が与えた1秒間あたりの平均ダメージ（DPS）を<br>表示するかを設定します。<br><br><yellow>※ダメージの値は画面右上に表示されます。<c>"""
Config_Reb_180_Select_0#0,"""表示しない"""
Config_Reb_180_Select_1#0,"""表示する"""
Config_Reb_Title_Light#0,"""<white>光源設定<c>"""
Config_Reb_Title_Quality#0,"""<white>描画品質設定<c>"""
Config_Reb_Title_Character#0,"""<white>キャラクター表示設定<c>"""
Config_Reb_Title_3d#0,"""<white>3D表示品質設定<c>"""
Config_Reb_Title_Framerate#0,"""<white>フレームレート設定<c>"""
Config_Reb_Title_Texture#0,"""<white>テクスチャ設定<c>"""
Config_Reb_Title_Object#0,"""<white>オブジェクト表示設定<c>"""
Config_Reb_181_Name#0,"""キャラクターのトゥーン表示：他プレイヤー"""
Config_Reb_181_Hint#0,"""他プレイヤーのキャラクターを、<br>トゥーン（アニメ）調で描写するかを設定します。<br><br>“キャラクターの設定に準じる”を選ぶと、<br>他プレイヤーがトゥーン表示にしている<br>キャラクターにのみ設定が適用されます。<br><br><yellow>※“使用しない”以外を選ぶと<br>\u3000処理がやや重くなります。<c>"""
Config_Reb_181_Select_0#0,"""使用しない"""
Config_Reb_181_Select_1#0,"""すべてのキャラクター"""
Config_Reb_181_Select_2#0,"""キャラクターの設定に準じる"""
Config_Reb_182_Name#0,"""キャラクターのトゥーン表示：NPC"""
Config_Reb_182_Hint#0,"""NPCを、<br>トゥーン（アニメ）調で描写するかを設定します。<br><br><yellow>※“使用する”を選ぶと<br>\u3000処理がやや重くなります。<c>"""
Config_Reb_182_Select_0#0,"""使用しない"""
Config_Reb_182_Select_1#0,"""使用する"""
Config_Reb_183_Name#0,"""プレイヤーキャラクターの移動モーション補正"""
Config_Reb_183_Hint#0,"""プレイヤーの<br>移動時の動きを自然に見せる機能の<br>ON/OFFを切り替えます。<br><br>キャラクターの動きが不自然なときに、<br>OFFにすることで改善する場合があります。"""
Config_Reb_183_Select_0#0,"""OFF"""
Config_Reb_183_Select_1#0,"""ON"""
Config_Reb_Title_Toon#0,"""<white>トゥーン表示設定<c>"""
Config_CollaboMode_Hint#0,"""現在のキャラクターのファッションや装備が、<br>“スクリーンショット投稿キャンペーン”などの<br>イベントに応募できるかを確認するための<br>アイコンを表示するかを設定します。<br><br><yellow>※アイコンは画面右上に常に表示されます。<c><br><br>【表示されるアイコン】<br>・<pict collab_photo_ok>：応募可能<br>・<pict collab_photo_ng>：応募不可（対象外アイテムが含まれた状態）"""
Title#1,"""Тип палитры действий"""
Message#0,"""В игре два типа палитры действий,<br>обычная 2-х кнопочная и новая 3-х кнопочная.<br>С 3-х кнопочной Палитрой вам доступны более интуитивные действия.<br><br><green>Эти настройки могут быть изменены в любое время<br>при помощи [Вернуться к начальным настройкам] в меню настроек.<c><br><br>Какой тип палитры действий вы будете использовать?"""
Button_2Button#0,"""2-х кнопочный тип"""
Button_3Button#0,"""3-х кнопочный тип"""
title#0,"""Настройка отображения управления"""
title#1,"""Выбор основного метода ввода"""
button1#0,"""Клавиатура & Мышь"""
button2#0,"""Геймпад"""
message#0,"""Если для игры используется геймпад, клавиатура<br>все ещё может использоваться для общения. Также другие функции управления<br>все еще будут доступны. <br><br><green>Эти настройки могут быть изменены в любое время<br>при помощи [Вернуться к начальным настройкам] в меню настроек.<c><br><br>Какое устройство вы будете использовать?"""
MiKakin#0,"""Не используется"""
IsPremium#0,"""<yellow>Премиум активен<c>"""
NonPremium#0,"""<red>Срок премиума истёк<c>"""
KakinGire#0,"""<red>истекло<c>"""
NetCafe#0,"""<green>премиум Net Café<c>"""
Category_Control#0,"""Управление"""
Category_Gameplay#0,"""Геймплей"""
Category_Graphic#0,"""Графика"""
Category_Interface#0,"""Интерфейс"""
Category_SoundAndChat#0,"""Звук/чат"""
Category_Other#0,"""Прочее"""
Category_Sound#1,"""サウンド"""
Category_Chat#0,"""チャット"""
Category_Camera#0,"""カメラ"""
Title_Config#0,"""Опции"""
Title_DetailInfo#1,"""Подробная информация"""
MenuButton_WindowReset#0,"""Инициализация окон"""
MenuButton_Reset#0,"""Сброс"""
Message_ResetError#0,"""Нельзя сбросить настройки в режиме стримера."""
MenuButton_Exit#0,"""Отмена и выход"""
MenuButton_ExitWithSave#0,"""Принять и выход"""
ThreeChoiceMenuTitle#1,"""Последнее подтверждение"""
ThreeChoiceMenuMessageApply#1,"""Сейчас закроется окно настроек.<br>Вы уверены, что хотите сохранить<br>настройки?"""
ThreeChoiceMenuButtonExit#1,"""Отмена и выход"""
ThreeChoiceMenuButtonExitWithSave#1,"""Принять и выход"""
ThreeChoiceMenuButtonCancel#1,"""Отмена"""
ConfirmTitleInit#1,"""Последнее подтверждение"""
ConfirmMessageInit#1,"""Все настройки будут сброшены<br>до значений по умолчанию.<br>Желаете продолжить?"""
ConfirmTitle#1,"""Последнее подтверждение"""
ConfirmMessageApply#1,"""Будут применены изменения.<br>Вы уверены?"""
ConfirmMessageDisapply#1,"""Изменения будут отменены.<br>Вы уверены?"""
ConfirmButtonApply#1,"""Сохранить и выйти"""
ConfirmButtonDisapply#1,"""Отменить и выйти"""
ConfirmButtonCancel#1,"""К настройкам"""
ConfirmTitleWindowInit#1,"""Подтверждение инициализации"""
ConfirmMessageWindowInit#1,"""Будут сброшены все размеры и<br>позиции отображения окон.<br>Вы уверены?"""
ConfirmMessageWindowInitEnd#1,"""Инициализированы размеры и положения окон."""
WindowTitleInitText#1,"""Настройка инициализации окон"""
WindowInitHint#1,"""Инициализирует размеры и положения окон."""
WindowRadioButtonInitText#1,"""Инициализирует все размеры и положения окон"""
AmdFsr_Switching_Info#0,"""С AMD FSR 1.0 было включено сглаживание."""
Config_Reb_152_Chat_1#0,"""[Авто-ответ] Чат шёпота не доступен для этого игрока."""
Config_Reb_152_Chat_2#0,"""[Авто-ответ] Нельзя использовать чат шёпота, так как у игрока активирован режим стримера."""
Subject_000#1,"""Настройки функции действий"""
Subject_001#1,"""Настройки HUD"""
Subject_002#1,"""Настройки меню"""
Subject_003#1,"""Авто-подбор предметов"""
Subject_004#1,"""Прочие настройки"""
Subject_005#1,"""Настройки камеры"""
Subject_006#1,"""Горизонтальная скорость вращения"""
Subject_007#1,"""Вертикальная скорость вращения"""
Subject_008#1,"""Отображение урона"""
Subject_009#1,"""Отображение исцеления/урона"""
Subject_010#1,"""Отображение EXP"""
Subject_011#1,"""Уведомления о выпадаемых предметах"""
Subject_012#1,"""Уведомления о подтверждении"""
Subject_013#1,"""Настройки сообщений"""
Subject_014#1,"""Прочие уведомления"""
Subject_015#1,"""Настройки чата"""
Subject_016#1,"""Отображать шаблонов от других"""
Subject_017#1,"""Каналы, показываемые в [Показать всё]"""
Subject_018#1,"""Настройки скриншотов"""
Subject_019#1,"""Настройки редактора персонажей"""
Subject_020#1,"""Настройки райд-роида"""
Subject_021#1,"""Настройки Дарк Бластов"""
Subject_022#1,"""Громкость музыки"""
Subject_023#1,"""Громкость звуков"""
Subject_024#1,"""Громкость голоса"""
Subject_025#1,"""Громкость внутриигровых роликов"""
Subject_026#1,"""Функции воспроизведения"""
Subject_027#1,"""Настройки эффектов"""
Subject_028#1,"""Количество детализированных моделей"""
Subject_029#1,"""Количество отображаемых Фотон Бластов"""
Subject_030#1,"""Качество отражений"""
Subject_031#1,"""Качество теней"""
Subject_032#1,"""Яркость экрана"""
Subject_033#1,"""Свет камеры"""
Subject_034#1,"""Функции мыши"""
Subject_035#1,"""Голосовой чат вкл/выкл"""
Subject_036#1,"""Список желаний, список подарков"""
Config_PadInput01#0,"""Выбор типа геймпада"""
Config_PadInput02#0,"""Определённые комбинации геймпада и типа<br>ввода могут работать некорректно.<br>Пожалуйста, измените тип ввода, если это<br>произойдет."""
Config_PadInput03#0,"""-"""
Config_PadInput04#1,"""-"""
Config_PadInput05#1,"""-"""
Config_PadInput06#1,"""Переключение вибрации геймпада"""
Config_PadInput07#1,"""Вибрация доступна только при выборе “XInput”.<br><yellow>※ Некоторые геймпады могут не поддерживать вибрацию.<c>"""
Config_PadInput08#0,"""-"""
Config_PadInput09#0,"""-"""
Config_PadInput10#0,"""-"""
Config_PadInput11#0,"""-"""
Config_PadInput12#1,"""Геймпад (не активное окно)"""
Config_PadInput13#1,"""Выберите, будут ли приниматься сигналы с геймпада при не активном окне."""
Config_PadInput14#0,"""-"""
Config_PadInput15#0,"""-"""
Config_PadInput16#0,"""-"""
Config_PadInput17#1,"""Настройки геймпада по умолчанию"""
Config_PadInput18#1,"""Калибровку можно выполнить только при активном “DirectInput”."""
