Npc_ShopTrade#0,"""Магазин переработки"""
Npc_417#0,"""Матои"""
Npc_422#0,"""Пьетро"""
Npc_443#1,"""りら"""
Npc_444#0,"""クイナ"""
Npc_445#0,"""エリ"""
Npc_446#0,"""クララ"""
Npc_448#0,"""****"""
Npc_272#1,"""Ио (Эп. 4)"""
Npc_210#1,"""Афин (Эп. 3)"""
Npc_83#1,"""Зено (Эп. 2)"""
Npc_86#1,"""Эко (Эп. 2)"""
Npc_188#1,"""Эко (Эп. 3)"""
Npc_62#1,"""Лотти (Эп. 4)"""
Npc_63#1,"""Люберт (Эп. 4)"""
Npc_153#1,"""Теодор (Эп. 2)"""
Npc_316#2,"""Ицки (Аватар)"""
Npc_213#1,"""Матои (Эп. 4)"""
Npc_407#2,"""Джина (Stella Innocent)"""
Npc_CounterQuest1#2,"""dummy"""
Npc_CounterQuest2#2,"""dummy"""
Npc_CounterQuest3#2,"""dummy"""
Npc_CounterQuest4#2,"""dummy"""
Npc_CounterQuest5#2,"""dummy"""
Npc_ShopItem#2,"""dummy"""
Npc_ShopItem2#2,"""dummy"""
Npc_ShopWeapon#2,"""dummy"""
Npc_ShopDisc#2,"""dummy"""
Npc_ShopCostume1#2,"""dummy"""
Npc_ShopCostume2#2,"""dummy"""
Npc_ShopReform1#2,"""dummy"""
Npc_ShopReform2#2,"""dummy"""
Npc_ShopPoint#3,"""dummy"""
Npc_ShopPoint2#3,"""dummy"""
Npc_ShopPoint3#3,"""dummy"""
Npc_ClassCounter#2,"""dummy"""
Npc_CounterArks#2,"""dummy"""
Npc_CounterArks2#2,"""dummy"""
Npc_CounterSalon1#2,"""dummy"""
Npc_CounterSalon2#2,"""dummy"""
Npc_CounterMd1#2,"""dummy"""
Npc_CounterMd2#2,"""dummy"""
Npc_CounterLab1#2,"""dummy"""
Npc_CounterLab2#2,"""dummy"""
Npc_CounterTeam1#2,"""dummy"""
Npc_CounterTeam2#2,"""dummy"""
Npc_CounterTeam3#2,"""dummy"""
Npc_CounterTeam4#2,"""dummy"""
Npc_CounterTeam5#2,"""dummy"""
Npc_CounterTeam6#2,"""dummy"""
Npc_CounterTeam7#2,"""dummy"""
Npc_CounterTeam8#2,"""dummy"""
Npc_ShopPastry1#1,"""dummy"""
Npc_ShopPastry2#1,"""dummy"""
Npc_ShopPastry3#1,"""dummy"""
Npc_CounterNetCafe#2,"""dummy"""
Npc_ShopTrade#3,"""dummy"""
Npc_ShopTrade2#2,"""dummy"""
Npc_01#1,"""Монументальная площадь"""
Npc_02#1,"""Координатор ARKS"""
Npc_03#1,"""Координатор (запад)"""
Npc_04#1,"""dummy"""
Npc_05#1,"""dummy"""
Npc_06#1,"""dummy"""
Npc_07#1,"""dummy"""
Npc_08#1,"""Лестница на 3-й эт."""
Npc_09#1,"""Периферийный проход (юг)"""
Npc_10#1,"""Периферийный проход (юг)"""
Npc_11#1,"""Фонтанная площадь (запад)"""
Npc_12#1,"""Лестница на 3-й эт."""
Npc_13#1,"""Монументальная площадь"""
Npc_14#1,"""Монументальная площадь"""
Npc_15#1,"""dummy"""
Npc_16#1,"""dummy"""
Npc_17#1,"""Медицинский центр"""
Npc_18#1,"""Зона врат (2-й эт.)"""
Npc_19#1,"""Зона врат (центральный холл)"""
Npc_20#1,"""Зона врат (центральный холл)"""
Npc_21#1,"""Периферийный проход (юг)"""
Npc_22#1,"""Торговая площадь, 2-й эт. (восток)"""
Npc_23#1,"""dummy"""
Npc_24#1,"""dummy"""
Npc_25#1,"""dummy"""
Npc_26#1,"""Зона врат (центральный холл)"""
Npc_27#1,"""dummy"""
Npc_28#1,"""dummy"""
Npc_29#1,"""dummy"""
Npc_30#1,"""Зона врат (2-й эт.)"""
Npc_31#1,"""dummy"""
Npc_32#1,"""Зона площади, 3-й эт."""
Npc_33#1,"""dummy"""
Npc_34#1,"""dummy"""
Npc_35#1,"""dummy"""
Npc_36#1,"""dummy"""
Npc_37#1,"""dummy"""
Npc_38#1,"""dummy"""
Npc_39#1,"""dummy"""
Npc_40#1,"""dummy"""
Npc_41#1,"""dummy"""
Npc_42#1,"""dummy"""
Npc_43#1,"""dummy"""
Npc_44#1,"""dummy"""
Npc_45#1,"""dummy"""
Npc_46#1,"""dummy"""
Npc_47#1,"""dummy"""
Npc_48#1,"""dummy"""
Npc_49#2,"""Координатор (запад)"""
Npc_50#2,"""Координатор (восток)"""
Npc_51#1,"""Торговая площадь / Кафе Франки (восток)"""
Npc_52#1,"""Координатор (запад)"""
Npc_53#1,"""Торговая площадь (запад)"""
Npc_54#1,"""Зона врат (2-й эт.)"""
Npc_55#1,"""Монументальная площадь"""
Npc_56#1,"""Периферийный проход (восток)"""
Npc_57#1,"""Зона врат (2-й эт.)"""
Npc_58#1,"""Медицинский центр"""
Npc_59#1,"""Координатор (восток)"""
Npc_60#1,"""Торговая площадь, 2-й эт. (восток)"""
Npc_61#2,"""Монументальная площадь"""
Npc_62#2,"""Периферийный проход (юг)"""
Npc_63#2,"""Периферийный проход (юг)"""
Npc_64#1,"""dummy"""
Npc_65#1,"""Зона площади, 3-й эт."""
Npc_66#1,"""Зона площади, 3-й эт."""
Npc_67#1,"""dummy"""
Npc_68#1,"""Монументальная площадь"""
Npc_69#1,"""Монументальная площадь"""
Npc_70#1,"""dummy"""
Npc_71#1,"""dummy"""
Npc_72#1,"""dummy"""
Npc_73#1,"""dummy"""
Npc_74#1,"""dummy"""
Npc_75#1,"""dummy"""
Npc_76#1,"""dummy"""
Npc_77#2,"""Монументальная площадь"""
Npc_78#1,"""dummy"""
Npc_79#1,"""dummy"""
Npc_80#1,"""Монументальная площадь"""
Npc_81#2,"""Монументальная площадь"""
Npc_82#2,"""Координатор (восток)"""
Npc_86#2,"""Координатор ARKS"""
Npc_87#1,"""Зона врат (центральный холл)"""
Npc_91#1,"""Монументальная площадь"""
Npc_96#2,"""Монументальная площадь"""
Npc_97#2,"""Монументальная площадь"""
Npc_98#2,"""Зона врат (центральный холл)"""
Npc_99#2,"""Монументальная площадь"""
Npc_ShipBattle#1,"""Монументальная площадь"""
Npc_asia001#2,"""Монументальная площадь"""
Npc_asia002#2,"""Монументальная площадь"""
Npc_asia003#2,"""Монументальная площадь"""
Npc_asia004#2,"""Монументальная площадь"""
Npc_asia005#2,"""Монументальная площадь"""
Npc_asia006#2,"""Монументальная площадь"""
Npc_asia007#2,"""Монументальная площадь"""
Npc_asia008#2,"""Монументальная площадь"""
Npc_121#2,"""Монументальная площадь"""
Npc_125#1,"""Периферийный проход (юг)"""
Npc_134#2,"""Монументальная площадь"""
Npc_AmExchange1#2,"""Казино"""
Npc_AmExchange2#2,"""Казино"""
Npc_AmCounterA#2,"""Казино"""
Npc_AmCounterB#2,"""Казино"""
Npc_AmCounterBarA#2,"""Казино"""
Npc_AmShopA#2,"""Казино"""
Npc_AmCounterQuestA#2,"""Казино"""
Npc_160#1,"""Казино"""
Npc_161#1,"""Казино"""
Npc_162#1,"""Казино"""
Npc_192#2,"""Монументальная площадь"""
Npc_186#1,"""Зона врат (2-й эт.)"""
Npc_187#1,"""dummy"""
Npc_150#1,"""Зона Врат: Центральный Телепорт"""
Npc_151#1,"""Зона Врат: Центральный Телепорт"""
Npc_188#2,"""Координатор ARKS"""
Npc_CQTrade1#2,"""Буферная Зона"""
Npc_CQTrade2#2,"""Буферная Зона"""
Npc_CQTrade3#2,"""Буферная Зона"""
Npc_CQTrade4#2,"""Буферная Зона"""
Npc_CQTrade5#2,"""Буферная Зона"""
Npc_CQTrade6#2,"""Буферная Зона"""
Npc_CQTrade7#2,"""Буферная Зона"""
Npc_CQTrade8#2,"""Буферная Зона"""
Npc_CQTrade9#2,"""Буферная Зона"""
Npc_CQTrade10#2,"""Буферная Зона"""
Npc_CQTrade11#2,"""Буферная Зона"""
Npc_CQCounterQuestA#2,"""Зона испытаний"""
CQCounterQuestB#0,"""Зона испытаний"""
Npc_CQOperator#2,"""Зона испытаний"""
Npc_CQShopPoint#2,"""Зона испытаний"""
Npc_108#2,"""Монументальная площадь"""
Npc_ShipBattleF#1,"""Монументальная площадь"""
Npc_203#2,"""Казино"""
Npc_200#2,"""Монументальная площадь"""
Npc_201#2,"""Монументальная площадь"""
Npc_158#2,"""Координатор (восток)"""
Npc_230#1,"""Монументальная площадь"""
Npc_241#2,"""Монументальная площадь"""
Npc_244#1,"""Монументальная площадь"""
Npc_210#2,"""Координатор (запад)"""
Npc_213#2,"""dummy"""
Npc_256#1,"""Медицинский центр"""
Npc_227#1,"""Зона врат (2-й эт.)"""
Npc_PetLab1#2,"""Зона врат (2-й эт.)"""
Npc_242#1,"""Координатор ARKS"""
Npc_239#2,"""Зона командного мостика"""
Npc_206#2,"""Монументальная площадь"""
Npc_207#2,"""Монументальная площадь"""
Npc_300#1,"""Лестница на 3-й эт."""
Npc_288#1,"""Периферийный проход (юг)"""
Npc_289#1,"""Периферийный проход (юг)"""
Npc_254#1,"""Командный мостик"""
Npc_306#2,"""Монументальная площадь"""
Npc_Cf_CounterQuest#2,"""Кафе Франки"""
Npc_Cf_ShopItem#2,"""Кафе Франки"""
Npc_Cf_Trade#2,"""Кафе Франки"""
Npc_307#2,"""Кафе Франки"""
Npc_Cf_ShopCrew#2,"""Кафе Франки"""
Npc_308#2,"""Кафе Франки"""
Npc_309#1,"""Кафе Франки"""
Npc_305#1,"""Торговая площадь / Кафе Франки (восток)"""
Npc_297#1,"""Командный мостик"""
Npc_292#1,"""Зона врат (2-й эт.)"""
Npc_314#2,"""Монументальная площадь"""
Npc_315#1,"""Кафе Франки"""
Npc_316#3,"""Монументальная площадь"""
Npc_318#2,"""Монументальная площадь"""
Npc_319#2,"""Монументальная площадь"""
Npc_320#2,"""Монументальная площадь"""
Npc_321#2,"""Монументальная площадь"""
Npc_322#2,"""Монументальная площадь"""
Npc_323#2,"""Монументальная площадь"""
Npc_222#2,"""Монументальная площадь"""
Npc_360#2,"""Монументальная площадь"""
Npc_346#2,"""Монументальная площадь"""
Npc_347#2,"""Монументальная площадь"""
Npc_221#2,"""Монументальная площадь"""
Npc_220#2,"""Монументальная площадь"""
Npc_348#2,"""Монументальная площадь"""
Npc_349#2,"""Монументальная площадь"""
Npc_363#2,"""Монументальная площадь"""
Npc_378#2,"""Монументальная площадь"""
Npc_PvCounterQuest1#2,"""Монументальная площадь"""
Npc_PvCounterQuest2#2,"""Монументальная площадь"""
Npc_399#2,"""Монументальная площадь"""
Npc_407#3,"""Монументальная площадь"""
Npc_408#2,"""Монументальная площадь"""
Npc_412#2,"""Монументальная площадь"""
Npc_223#2,"""Монументальная площадь"""
Npc_443#2,"""モニュメント広場"""
Npc_444#1,"""モニュメント広場"""
Npc_445#1,"""モニュメント広場"""
SwordPA01#0,"""ライジングエッジ"""
SwordPA02#0,"""ツイスターフォール"""
SwordPA03#0,"""ノヴァストライク"""
SwordPA04#0,"""ライドスラッシャー"""
SwordPA05#0,"""オーバーエンド"""
SwordPA06#0,"""スタンコンサイド"""
SwordPA07#0,"""ソニックアロウ"""
SwordPA08#0,"""クルーエルスロー"""
SwordPA09#0,"""ギルティブレイク"""
SwordPA10#0,"""サクリファイスバイト"""
SwordPA11#0,"""イグナイトパリング"""
WlancePA01#0,"""バインドスルー"""
WlancePA02#0,"""グラップルチャージ"""
WlancePA03#0,"""ヘブンリーフォール"""
WlancePA04#0,"""アザーサイクロン"""
WlancePA05#0,"""アザースピン"""
WlancePA06#0,"""ホールディングカレント"""
WlancePA07#0,"""エアポケットスイング"""
WlancePA08#0,"""サーベラスダンス"""
WlancePA09#0,"""ワイルドラウンド"""
WlancePA10#0,"""カイザーライズ"""
WlancePA11#0,"""アダプトスピン"""
PartisanPA01#0,"""スライドシェイカー"""
PartisanPA02#0,"""スピードレイン"""
PartisanPA03#0,"""ライジングフラッグ"""
PartisanPA04#0,"""ピークアップスロー"""
PartisanPA05#0,"""トリックレイヴ"""
PartisanPA06#0,"""スライドエンド"""
PartisanPA07#0,"""アサルトバスター"""
PartisanPA08#0,"""バンタースナッチ"""
PartisanPA09#0,"""セイクリッドスキュア"""
PartisanPA10#0,"""ヴォルグラプター"""
PartisanPA11#0,"""ティアーズグリッド"""
TdaggerPA01#0,"""レイジングワルツ"""
TdaggerPA02#0,"""シュートポルカ"""
TdaggerPA03#0,"""スケアフーガ"""
TdaggerPA04#0,"""ワイルドラプソディ"""
TdaggerPA05#0,"""ダークスケルツォ"""
TdaggerPA06#0,"""クイックマーチ"""
TdaggerPA07#0,"""シンフォニックドライブ"""
TdaggerPA08#0,"""オウルケストラー"""
TdaggerPA09#0,"""ブラッディサラバンド"""
TdaggerPA10#0,"""ファセットフォリア"""
TdaggerPA11#0,"""フォールノクターン"""
DsaberPA01#0,"""トルネードダンス"""
DsaberPA02#0,"""シザーエッジ"""
DsaberPA03#0,"""ランブリングムーン"""
DsaberPA04#0,"""イリュージョンレイヴ"""
DsaberPA05#0,"""フェイクキャプチャ"""
DsaberPA06#0,"""サプライズダンク"""
DsaberPA07#0,"""デッドリーアーチャー"""
DsaberPA08#0,"""アクロエフェクト"""
DsaberPA09#0,"""デッドリーサークル"""
DsaberPA10#0,"""ケイオスライザー"""
DsaberPA11#0,"""ハリケーンセンダー"""
DsaberPA12#0,"""ダブルセイバーPA12"""
KnucklePA01#0,"""ダッキングブロウ"""
KnucklePA02#0,"""フリッカージャブ"""
KnucklePA03#0,"""Pendulum Ролл"""
KnucklePA04#0,"""スライドアッパー"""
KnucklePA05#0,"""ストレイトチャージ"""
KnucklePA06#0,"""クエイクハウリング"""
KnucklePA07#0,"""サプライズナックル"""
KnucklePA08#0,"""フラッシュサウザンド"""
KnucklePA09#0,"""バックハンドスマッシュ"""
KnucklePA10#0,"""メテオフィスト"""
KnucklePA11#0,"""ハートレスインパクト"""
GunslashPA01#0,"""トライインパクト"""
GunslashPA02#0,"""レイジダンス"""
GunslashPA03#0,"""エインラケーテン"""
GunslashPA04#0,"""サーペントエア"""
GunslashPA05#0,"""エイミングショット"""
GunslashPA06#0,"""スリラープロード"""
GunslashPA07#0,"""スラッシュレイヴ"""
GunslashPA08#0,"""アディションバレット"""
GunslashPA09#0,"""クライゼンシュラーク"""
GunslashPA10#0,"""レーゲンシュラーク"""
GunslashPA11#0,"""シュトレツヴァイ"""
RiflePA01#0,"""ピアッシングシェル"""
RiflePA02#0,"""グレネードシェル"""
RiflePA03#0,"""ワンポイント"""
RiflePA04#0,"""ディフューズシェル"""
RiflePA05#0,"""ホーミングエミッション"""
RiflePA06#0,"""インパクトスライダー"""
RiflePA07#0,"""スニークシューター"""
RiflePA08#0,"""グローリーレイン"""
RiflePA09#0,"""パラレルスライダー"""
RiflePA10#0,"""サテライトカノン"""
RiflePA11#0,"""エンドアトラクト"""
LauncherPA01#0,"""ディバインランチャー"""
LauncherPA02#0,"""コンセントレイトワン"""
LauncherPA03#0,"""クラスターバレット"""
LauncherPA04#0,"""クラッカーバレット"""
LauncherPA05#0,"""ゼロディスタンス"""
LauncherPA06#0,"""ロデオドライブ"""
LauncherPA07#0,"""クレイジースマッシュ"""
LauncherPA08#0,"""フェイクシルエット"""
LauncherPA09#0,"""フレイムバレット"""
LauncherPA10#0,"""コスモスブレイカー"""
LauncherPA11#0,"""スフィアイレイザー"""
MachinegunPA01#0,"""エリアルシューティング"""
MachinegunPA02#0,"""バレットスコール"""
MachinegunPA03#0,"""デッドアプローチ"""
MachinegunPA04#0,"""メシアタイム"""
MachinegunPA05#0,"""インフィニティファイア"""
MachinegunPA06#0,"""サテライトエイム"""
MachinegunPA07#0,"""エルダーリベリオン"""
MachinegunPA08#0,"""リバースタップ"""
MachinegunPA09#0,"""ヒールスタッブ"""
MachinegunPA10#0,"""シフトピリオド"""
MachinegunPA11#0,"""グリムバラージュ"""
KatanaPA01#0,"""ツキミサザンカ"""
KatanaPA02#0,"""ゲッカザクロ"""
KatanaPA03#0,"""カンランキキョウ"""
KatanaPA04#0,"""サクラエンド"""
KatanaPA05#0,"""ヒエンツバキ"""
KatanaPA06#0,"""アサギリレンダン"""
KatanaPA07#0,"""ハトウリンドウ"""
KatanaPA08#0,"""シュンカシュンラン"""
KatanaPA09#0,"""カザンナデシコ"""
KatanaPA10#0,"""フドウクチナシ"""
KatanaPA11#0,"""グレンテッセン"""
CompoundBowPA01#0,"""マスターシュート"""
CompoundBowPA02#0,"""ペネトレイトアロウ"""
CompoundBowPA03#0,"""トレンシャルアロウ"""
CompoundBowPA04#0,"""グラヴィティポイント"""
CompoundBowPA05#0,"""カミカゼアロウ"""
CompoundBowPA06#0,"""シャープボマー"""
CompoundBowPA07#0,"""ラストネメシス"""
CompoundBowPA08#0,"""トリットシューター"""
CompoundBowPA09#0,"""バニッシュアロウ"""
CompoundBowPA10#0,"""ミリオンストーム"""
CompoundBowPA11#0,"""チェイスアロウ"""
JetBootsPA01#0,"""ストライクガスト"""
JetBootsPA02#0,"""グランウェイヴ"""
JetBootsPA03#0,"""モーメントゲイル"""
JetBootsPA04#0,"""ヴィントジーカー"""
DbladePA01#0,"""ディストラクトウィング"""
DbladePA02#0,"""ディスパースシュライク"""
DbladePA03#0,"""ヘブンリーカイト"""
DbladePA04#0,"""ジャスティスクロウ"""
DbladePA05#0,"""スターリングフォール"""
DbladePA06#0,"""ケストレルランページ"""
DbladePA07#0,"""イモータルダーヴ"""
Fire01#0,"""フォイエ"""
Fire02#0,"""ギ・フォイエ"""
Fire03#0,"""ラ・フォイエ"""
Fire04#0,"""サ・フォイエ"""
Fire05#0,"""シフタ"""
Fire06#0,"""ナ・フォイエ"""
Fire07#0,"""イル・フォイエ"""
Ice01#0,"""バータ"""
Ice02#0,"""ギ・バータ"""
Ice03#0,"""ラ・バータ"""
Ice04#0,"""サ・バータ"""
Ice05#0,"""デバンド"""
Ice06#0,"""ナ・バータ"""
Ice07#0,"""イル・バータ"""
Thunder01#0,"""ゾンデ"""
Thunder02#0,"""ギ・ゾンデ"""
Thunder03#0,"""ラ・ゾンデ"""
Thunder04#0,"""サ・ゾンデ"""
Thunder05#0,"""ゾンディール"""
Thunder06#0,"""ナ・ゾンデ"""
Thunder07#0,"""イル・ゾンデ"""
Wind01#0,"""ザン"""
Wind02#0,"""ギ・ザン"""
Wind03#0,"""ラ・ザン"""
Wind04#0,"""サ・ザン"""
Wind05#0,"""ナ・ザン"""
Wind06#0,"""ザンバース"""
Wind07#0,"""イル・ザン"""
Light01#0,"""グランツ"""
Light02#0,"""ギ・グランツ"""
Light03#0,"""ラ・グランツ"""
